case_number,time_reported,time_started,time_ended,location_of_occurrence,domestic_relationship,incident_type,criminal_offense,disposition,latitude,longitude,zip_code,year,month,day,hour,day_of_week,general_offense
202300548,2023-04-24 16:56:00,2023-04-24 16:56:00,2023-04-24 16:56:00,"907 HITT ST, COLUMBIA MO",NO  ,PROPERTY DAMAGE,PROPERTY DAMAGE,ACTIVE,38.939613,-92.3267953,65201,2023,4,24,16,Monday,PROPERTY DAMAGE
202300545,2023-04-23 18:26:00,2023-04-23 18:26:00,2023-04-23 18:26:00,"904 ELM ST, COLUMBIA MO",NO  ,HARASSMENT,HARASSMENT,ACTIVE,38.9482167,-92.326894,65211,2023,4,23,18,Sunday,HARASSMENT
202300544,2023-04-23 10:08:08,2023-04-23 08:08:41,2023-04-23 10:08:08,"1 HOSPITAL DR, COLUMBIA MO",NO  ,ASSAULT-SIMPLE,ASSAULT-SIMPLE,CLEARED BY ARREST,38.938273,-92.3273842,65201,2023,4,23,8,Sunday,ASSAULT
202300544,2023-04-23 10:08:08,2023-04-23 08:08:41,2023-04-23 10:08:08,"1 HOSPITAL DR, COLUMBIA MO",NO  ,OTHER OFFENSE - NOT REPORTABLE,ASSAULT-SIMPLE,CLEARED BY ARREST,38.938273,-92.3273842,65201,2023,4,23,8,Sunday,ASSAULT
202300542,2023-04-22 23:55:00,2023-04-22 23:55:00,2023-04-22 23:55:00,"399 E STADIUM BLVD, COLUMBIA MO",NO  ,TRAFFIC OFFENSE,TRAFFIC OFFENSE,CLEARED BY ARREST,38.9383489,-92.3331613,65203,2023,4,22,23,Saturday,TRAFFIC OFFENSE
202300542,2023-04-22 23:55:00,2023-04-22 23:55:00,2023-04-22 23:55:00,"399 E STADIUM BLVD, COLUMBIA MO",NO  ,WARRANT ARREST,TRAFFIC OFFENSE,CLEARED BY ARREST,38.9383489,-92.3331613,65203,2023,4,22,23,Saturday,TRAFFIC OFFENSE
202300541,2023-04-22 21:18:00,2023-04-22 21:18:00,2023-04-22 21:18:00,"1 HOSPITAL DR, COLUMBIA MO",NO  ,ASSAULT-SIMPLE,ASSAULT-SIMPLE,CLEARED BY ARREST,38.938273,-92.3273842,65201,2023,4,22,21,Saturday,ASSAULT
202300540,2023-04-22 10:23:00,2023-04-22 10:23:00,2023-04-22 10:23:00,"1 HOSPITAL DR, COLUMBIA MO",NO  ,LARCENY - SHOPLIFTING,LARCENY - SHOPLIFTING,EXCEPTIONALLY CLEARED,38.938273,-92.3273842,65201,2023,4,22,10,Saturday,LARCENY 
202300539,2023-04-22 07:22:00,2023-04-22 07:22:00,2023-04-22 07:22:00,"115 MIZZOU NORTH, COLUMBIA MO",NO  ,LARCENY - THEFT FROM BUILDING,LARCENY - THEFT FROM BUILDING,ACTIVE,38.9671379,-92.3391405,65201,2023,4,22,7,Saturday,LARCENY 
202300538,2023-04-22 01:06:00,2023-04-22 01:06:00,2023-04-22 01:06:00,"949 CONLEY AVE, COLUMBIA MO",NO  ,TRAFFIC OFFENSE,TRAFFIC OFFENSE,CLEARED BY ARREST,0.1682572543197894,90872863.0,65201,2023,4,22,1,Saturday,TRAFFIC OFFENSE
202300537,2023-04-21 21:49:00,2023-04-21 09:09:00,2023-04-21 21:49:00,"1 HOSPITAL DR, COLUMBIA MO",NO  ,MISSING PERSON,MISSING PERSON,ACTIVE,38.938273,-92.3273842,65201,2023,4,21,9,Friday,MISSING PERSON
