case_number,time_reported,time_started,time_ended,location_of_occurence,domestic_relationship,incident_type,criminal_offense,disposition
202300548,2023-04-24 16:56:00,2023-04-24 16:56:00,2023-04-24 16:56:00,"907 HITT ST, COLUMBIA MO, 65201     ",NO  ,PROPERTY DAMAGE,PROPERTY DAMAGE,ACTIVE
202300546,2023-04-24 05:57:00,2023-04-24 05:57:00,2023-04-24 05:57:00,"3 HOSPITAL DR, COLUMBIA MO, 65201     ",NO  ,OFFICE INFORMATION (MUPD),OFFICE INFORMATION (MUPD),CLOSED
202300545,2023-04-23 18:26:00,2023-04-23 18:26:00,2023-04-23 18:26:00,"904 ELM STREET, COLUMBIA MO, 65211     ",NO  ,HARASSMENT,HARASSMENT,ACTIVE
202300544,2023-04-23 10:08:08,2023-04-23 08:08:41,2023-04-23 10:08:08,"1 HOSPITAL DR, COLUMBIA MO, 65201     ",NO  ,ASSAULT-SIMPLE,ASSAULT-SIMPLE,CLEARED BY ARREST
202300544,2023-04-23 10:08:08,2023-04-23 08:08:41,2023-04-23 10:08:08,"1 HOSPITAL DR, COLUMBIA MO, 65201     ",NO  ,OTHER OFFENSE - NOT REPORTABLE,ASSAULT-SIMPLE,CLEARED BY ARREST
202300543,2023-04-23 04:49:01,2023-04-23 00:46:00,2023-04-23 00:46:00,"515 S FIFTH ST, COLUMBIA MO, 65201     ",NO  ,OFFICE INFORMATION (MUPD),OFFICE INFORMATION (MUPD),ACTIVE
202300542,2023-04-22 23:55:00,2023-04-22 23:55:00,2023-04-22 23:55:00,"399 E STADIUM BLVD, COLUMBIA MO, 65203     ",NO  ,TRAFFIC OFFENSE,TRAFFIC OFFENSE,CLEARED BY ARREST
202300542,2023-04-22 23:55:00,2023-04-22 23:55:00,2023-04-22 23:55:00,"399 E STADIUM BLVD, COLUMBIA MO, 65203     ",NO  ,WARRANT ARREST,TRAFFIC OFFENSE,CLEARED BY ARREST
202300541,2023-04-22 21:18:00,2023-04-22 21:18:00,2023-04-22 21:18:00,"1 HOSPITAL DRIVE, COLUMBIA MO, 65201     ",NO  ,ASSAULT-SIMPLE,ASSAULT-SIMPLE,CLEARED BY ARREST
202300540,2023-04-22 10:23:00,2023-04-22 10:23:00,2023-04-22 10:23:00,"1 HOSPITAL DR, COLUMBIA MO, 65201     ",NO  ,LARCENY - SHOPLIFTING,LARCENY - SHOPLIFTING,EXCEPTIONALLY CLEARED
202300539,2023-04-22 07:22:00,2023-04-22 07:22:00,2023-04-22 07:22:00,"115 MIZZOU NORTH, COLUMBIA MO, 65201     ",NO  ,LARCENY - THEFT FROM BUILDING,LARCENY - THEFT FROM BUILDING,ACTIVE
202300538,2023-04-22 01:06:00,2023-04-22 01:06:00,2023-04-22 01:06:00,"949 CONLEY AVE, COLUMBIA MO, 65201     ",NO  ,TRAFFIC OFFENSE,TRAFFIC OFFENSE,CLEARED BY ARREST
202300537,2023-04-21 21:49:00,2023-04-21 09:09:00,2023-04-21 21:49:00,"1 HOSPITAL DR, COLUMBIA MO, 65201     ",NO  ,MISSING PERSON,MISSING PERSON,ACTIVE
202300536,2023-04-21 18:04:00,2023-04-21 18:03:59,2023-04-21 18:04:00,"999 CHAMPIONS DR, COLUMBIA MO, 65201     ",NO  ,CRASH INVESTIGATION,CRASH INVESTIGATION,CLOSED
202300535,2023-04-21 08:28:00,2023-04-21 03:00:00,2023-04-21 05:30:00,"599 E STEWART RD, COLUMBIA MO, 65201     ",NO  ,PROPERTY DAMAGE,PROPERTY DAMAGE,ACTIVE
202300534,2023-04-21 02:09:00,2023-04-21 02:09:00,2023-04-21 02:09:00,"399 W STADIUM BLVD, COLUMBIA MO, 65203     ",NO  ,DWI,DWI,CLEARED BY ARREST
202300533,2023-04-21 01:34:00,2023-04-21 01:34:00,2023-04-21 01:34:00,"1089 ROLLINS ST, COLUMBIA MO, 65201     ",NO  ,FORGERY,FORGERY,CLEARED BY ARREST
202300532,2023-04-21 01:02:00,2023-04-21 01:01:59,2023-04-21 01:02:00,"800 VIRGINIA AVE, COLUMBIA MO, 65201     ",NO  ,TRAFFIC OFFENSE,FORGERY,CLEARED BY ARREST
202300532,2023-04-21 01:02:00,2023-04-21 01:01:59,2023-04-21 01:02:00,"800 VIRGINIA AVE, COLUMBIA MO, 65201     ",NO  ,FORGERY,FORGERY,CLEARED BY ARREST
202300532,2023-04-21 01:02:00,2023-04-21 01:01:59,2023-04-21 01:02:00,"800 VIRGINIA AVE, COLUMBIA MO, 65201     ",NO  ,DWI,FORGERY,CLEARED BY ARREST
202300531,2023-04-21 00:24:00,2023-04-21 00:24:00,2023-04-21 00:24:00,"1306 ROLLINS ST, COLUMBIA MO, 65201     ",NO  ,LIQUOR LAW,FORGERY,EXCEPTIONALLY CLEARED
202300531,2023-04-21 00:24:00,2023-04-21 00:24:00,2023-04-21 00:24:00,"1306 ROLLINS ST, COLUMBIA MO, 65201     ",NO  ,FORGERY,FORGERY,EXCEPTIONALLY CLEARED
202300530,2023-04-21 01:05:00,2023-04-21 00:14:00,2023-04-21 00:14:00,"711 TIGER AVE, COLUMBIA MO, 65201     ",NO  ,PROPERTY DAMAGE,PROPERTY DAMAGE,CLEARED BY ARREST
202300529,2023-04-20 18:05:00,2023-04-20 18:04:59,2023-04-20 18:05:00,"901 VIRGINIA AVE, COLUMBIA MO, 65201     ",NO  ,OFFICE INFORMATION (MUPD),OFFICE INFORMATION (MUPD),CLOSED
202300528,2023-04-20 08:26:00,2023-04-20 08:25:59,2023-04-20 08:26:00,"915 LOCUST ST, COLUMBIA MO, 65201     ",NO  ,SICK/MENTALLY ILL PERSON,SICK/MENTALLY ILL PERSON,ACTIVE
202300527,2023-04-21 08:20:46,2023-04-20 09:30:00,2023-04-20 09:47:00,"1 HOSPITAL DR, COLUMBIA MO, 65201     ",NO  ,ASSAULT-SIMPLE,ASSAULT-SIMPLE,ACTIVE
202300526,2023-04-21 07:25:20,2023-04-19 14:30:00,2023-04-20 08:55:00,"901 ROLLINS ST, COLUMBIA MO, 65201     ",NO  ,PROPERTY DAMAGE,PROPERTY DAMAGE,INACTIVE (MUPD ONLY)
202300525,2023-04-20 02:33:00,2023-04-20 02:33:00,2023-04-20 02:33:00,"851 CHAMPIONS DR, COLUMBIA MO, 65201     ",NO  ,MOTOR VEHICLE THEFT,MOTOR VEHICLE THEFT,ACTIVE
202300524,2023-04-20 01:43:00,2023-04-20 01:42:59,2023-04-20 01:43:00,"801 CONLEY AVE, COLUMBIA MO, 65201     ",NO  ,TRESPASS,TRESPASS,CLEARED BY ARREST
202300523,2023-04-20 00:19:00,2023-04-20 00:18:59,2023-04-20 00:19:00,"601 TURNER AVE, COLUMBIA MO, 65201     ",NO  ,SICK/MENTALLY ILL PERSON,SICK/MENTALLY ILL PERSON,CLOSED
202300522,2023-04-20 00:00:00,2023-04-20 00:00:00,2023-04-20 00:00:00,"1100 ROLLINS ST, COLUMBIA MO, 65201     ",NO  ,SICK/MENTALLY ILL PERSON,SICK/MENTALLY ILL PERSON,CLOSED
202300521,2023-04-19 21:55:00,2023-04-19 21:54:59,2023-04-19 21:55:00,"1299 UNIVERSITY AVE, COLUMBIA MO, 65201     ",NO  ,ASSIST OTHER AGENCY (MUPD),ASSIST OTHER AGENCY (MUPD),CLEARED BY ARREST
202300520,2023-04-19 13:02:00,2023-04-19 13:01:59,2023-04-19 13:02:00,"399 S EIGHTH ST, COLUMBIA MO, 65201     ",NO  ,LEAVING THE SCENE OF ACCIDENT,LEAVING THE SCENE OF ACCIDENT,CLEARED BY ARREST
202300519,2023-04-18 21:59:00,2023-04-18 21:59:00,2023-04-18 21:59:00,"601 SOUTH PROVIDENCE ROAD, COLUMBIA MO, 65211     ",NO  ,DRUG - NARCOTIC,DRUG - NARCOTIC,CLEARED BY ARREST
202300518,2023-04-18 20:55:00,2023-04-18 20:55:00,2023-04-18 20:55:00,"115 W BUSINESS LOOP 70, COLUMBIA MO, 65203     ",NO  ,TRAFFIC OFFENSE,TRAFFIC OFFENSE,CLEARED BY ARREST
202300518,2023-04-18 20:55:00,2023-04-18 20:55:00,2023-04-18 20:55:00,"115 W BUSINESS LOOP 70, COLUMBIA MO, 65203     ",NO  ,WARRANT ARREST,TRAFFIC OFFENSE,CLEARED BY ARREST
202300517,2023-04-18 18:59:55,2023-04-18 18:59:54,2023-04-18 18:59:55,"1349 E BROADWAY, COLUMBIA MO, 65201     ",NO  ,TRAFFIC OFFENSE,TRAFFIC OFFENSE,CLEARED BY ARREST
202300516,2023-04-18 14:16:00,2023-04-18 14:16:00,2023-04-18 14:16:00,"1449 S PROVIDENCE RD, COLUMBIA MO, 65203     ",NO  ,ASSIST OTHER AGENCY (MUPD),ASSIST OTHER AGENCY (MUPD),CLOSED
202300515,2023-04-18 13:35:01,2023-04-18 13:35:00,2023-04-18 13:35:01,"500 N KEENE ST, COLUMBIA MO, 65201     ",NO  ,SICK/MENTALLY ILL PERSON,SICK/MENTALLY ILL PERSON,CLOSED
202300514,2023-04-17 21:31:00,2023-04-17 21:31:00,2023-04-17 21:31:00,"1133 ASHLAND RD, COLUMBIA MO, 65201     ",NO  ,LARCENY - OTHER,LARCENY - OTHER,ACTIVE
202300513,2023-04-17 15:38:00,2023-04-13 20:33:00,2023-04-15 05:25:14,"908 VIRGINIA AVE, COLUMBIA MO, 65201     ",NO  ,LARCENY - OTHER,LARCENY - OTHER,ACTIVE
202300512,2023-04-17 10:45:46,2023-04-17 10:45:45,2023-04-17 10:45:46,"1299 ROLLINS ST, COLUMBIA MO, 65201     ",NO  ,WARRANT ARREST,TRAFFIC OFFENSE,CLEARED BY ARREST
202300512,2023-04-17 10:45:46,2023-04-17 10:45:45,2023-04-17 10:45:46,"1299 ROLLINS ST, COLUMBIA MO, 65201     ",NO  ,TRAFFIC OFFENSE,TRAFFIC OFFENSE,CLEARED BY ARREST
202300511,2023-04-16 23:40:00,2023-04-16 23:39:59,2023-04-16 23:40:00,"907 HITT ST, COLUMBIA MO, 65201     ",NO  ,DRUG - NARCOTIC,DRUG - NARCOTIC,CLEARED BY ARREST
202300511,2023-04-16 23:40:00,2023-04-16 23:39:59,2023-04-16 23:40:00,"907 HITT ST, COLUMBIA MO, 65201     ",NO  ,DRUG - PARAPHERNALIA / EQUIPMENT,DRUG - NARCOTIC,CLEARED BY ARREST
