case_number,time_reported,time_occured,location_of_occurence,domestic_relationship,incident_type,criminal_offense,disposition
202300548,04/24/2023 04:56:00 pm,04/24/2023 04:56:00 pm-04/24/2023 04:56:00 pm,"907 HITT ST , COLUMBIA MO, 65201     ",NO  ,PROPERTY DAMAGE,PROPERTY DAMAGE,ACTIVE
202300546,04/24/2023 05:57:00 am,04/24/2023 05:57:00 am-04/24/2023 05:57:00 am,"3 HOSPITAL DR , COLUMBIA MO, 65201     ",NO  ,OFFICE INFORMATION (MUPD),OFFICE INFORMATION (MUPD),CLOSED
202300545,04/23/2023 06:26:00 pm,04/23/2023 06:26:00 pm-04/23/2023 06:26:00 pm,"904 ELM STREET/ EIGHTH STREET , COLUMBIA MO, 65211     ",NO  ,HARASSMENT,HARASSMENT,ACTIVE
202300544,04/23/2023 10:08:08 am,04/23/2023 08:08:41 am-04/23/2023 10:08:08 am,"1 HOSPITAL DR , COLUMBIA MO, 65201     ",NO  ,ASSAULT-SIMPLE,ASSAULT-SIMPLE,CLEARED BY ARREST
202300544,04/23/2023 10:08:08 am,04/23/2023 08:08:41 am-04/23/2023 10:08:08 am,"1 HOSPITAL DR , COLUMBIA MO, 65201     ",NO  ,OTHER OFFENSE - NOT REPORTABLE,ASSAULT-SIMPLE,CLEARED BY ARREST
202300543,04/23/2023 04:49:01 am,04/23/2023 12:46:00 am-04/23/2023 12:46:00 am,"515 S FIFTH ST , COLUMBIA MO, 65201     ",NO  ,OFFICE INFORMATION (MUPD),OFFICE INFORMATION (MUPD),ACTIVE
202300542,04/22/2023 11:55:00 pm,04/22/2023 11:55:00 pm-04/22/2023 11:55:00 pm,"399 E STADIUM BLVD/S PROVIDENCE RD , COLUMBIA MO, 65203     ",NO  ,TRAFFIC OFFENSE,TRAFFIC OFFENSE,CLEARED BY ARREST
202300542,04/22/2023 11:55:00 pm,04/22/2023 11:55:00 pm-04/22/2023 11:55:00 pm,"399 E STADIUM BLVD/S PROVIDENCE RD , COLUMBIA MO, 65203     ",NO  ,WARRANT ARREST,TRAFFIC OFFENSE,CLEARED BY ARREST
202300541,04/22/2023 09:18:00 pm,04/22/2023 09:18:00 pm-04/22/2023 09:18:00 pm,"1 UNIVERSITY HOSPITAL , COLUMBIA MO, 65201     ",NO  ,ASSAULT-SIMPLE,ASSAULT-SIMPLE,CLEARED BY ARREST
202300540,04/22/2023 10:23:00 am,04/22/2023 10:23:00 am-04/22/2023 10:23:00 am,"1 HOSPITAL DR , COLUMBIA MO, 65201     ",NO  ,LARCENY - SHOPLIFTING,LARCENY - SHOPLIFTING,EXCEPTIONALLY CLEARED
202300539,04/22/2023 07:22:00 am,04/22/2023 07:22:00 am-04/22/2023 07:22:00 am,"115 MIZZOU NORTH , COLUMBIA MO, 65201     ",NO  ,LARCENY - THEFT FROM BUILDING,LARCENY - THEFT FROM BUILDING,ACTIVE
202300538,04/22/2023 01:06:00 am,04/22/2023 01:06:00 am-04/22/2023 01:06:00 am,"949 CONLEY AVE/S NINTH ST , COLUMBIA MO, 65201     ",NO  ,TRAFFIC OFFENSE,TRAFFIC OFFENSE,CLEARED BY ARREST
202300537,04/21/2023 09:49:00 pm,04/21/2023 09:09:00 am-04/21/2023 09:49:00 pm,"1 HOSPITAL DR , COLUMBIA MO, 65201     ",NO  ,MISSING PERSON,MISSING PERSON,ACTIVE
202300536,04/21/2023 06:04:00 pm,04/21/2023 06:03:59 pm-04/21/2023 06:04:00 pm,"999 CHAMPIONS DR/E STADIUM BLVD , COLUMBIA MO, 65201     ",NO  ,CRASH INVESTIGATION,CRASH INVESTIGATION,CLOSED
202300535,04/21/2023 08:28:00 am,04/21/2023 03:00:00 am-04/21/2023 05:30:00 am,"599 E STEWART RD/S SIXTH ST , COLUMBIA MO, 65201     ",NO  ,PROPERTY DAMAGE,PROPERTY DAMAGE,ACTIVE
202300534,04/21/2023 02:09:00 am,04/21/2023 02:09:00 am-04/21/2023 02:09:00 am,"399 W STADIUM BLVD/CARRIE FRANCKE DR , COLUMBIA MO, 65203     ",NO  ,DWI,DWI,CLEARED BY ARREST
202300533,04/21/2023 01:34:00 am,04/21/2023 01:34:00 am-04/21/2023 01:34:00 am,"1089 ROLLINS ST/HITT ST , COLUMBIA MO, 65201     ",NO  ,FORGERY,FORGERY,CLEARED BY ARREST
202300532,04/21/2023 01:02:00 am,04/21/2023 01:01:59 am-04/21/2023 01:02:00 am,"800 VIRGINIA AVE/ROLLINS ST , COLUMBIA MO, 65201     ",NO  ,TRAFFIC OFFENSE,FORGERY,CLEARED BY ARREST
202300532,04/21/2023 01:02:00 am,04/21/2023 01:01:59 am-04/21/2023 01:02:00 am,"800 VIRGINIA AVE/ROLLINS ST , COLUMBIA MO, 65201     ",NO  ,FORGERY,FORGERY,CLEARED BY ARREST
202300532,04/21/2023 01:02:00 am,04/21/2023 01:01:59 am-04/21/2023 01:02:00 am,"800 VIRGINIA AVE/ROLLINS ST , COLUMBIA MO, 65201     ",NO  ,DWI,FORGERY,CLEARED BY ARREST
202300531,04/21/2023 12:24:00 am,04/21/2023 12:24:00 am-04/21/2023 12:24:00 am,"1306 ROLLINS ST , COLUMBIA MO, 65201     ",NO  ,LIQUOR LAW,FORGERY,EXCEPTIONALLY CLEARED
202300531,04/21/2023 12:24:00 am,04/21/2023 12:24:00 am-04/21/2023 12:24:00 am,"1306 ROLLINS ST , COLUMBIA MO, 65201     ",NO  ,FORGERY,FORGERY,EXCEPTIONALLY CLEARED
202300530,04/21/2023 01:05:00 am,04/21/2023 12:14:00 am-04/21/2023 12:14:00 am,"711 TIGER AVE , COLUMBIA MO, 65201     ",NO  ,PROPERTY DAMAGE,PROPERTY DAMAGE,CLEARED BY ARREST
202300529,04/20/2023 06:05:00 pm,04/20/2023 06:04:59 pm-04/20/2023 06:05:00 pm,"901 VIRGINIA AVE , COLUMBIA MO, 65201     ",NO  ,OFFICE INFORMATION (MUPD),OFFICE INFORMATION (MUPD),CLOSED
202300528,04/20/2023 08:26:00 am,04/20/2023 08:25:59 am-04/20/2023 08:26:00 am,"915 LOCUST ST , COLUMBIA MO, 65201     ",NO  ,SICK/MENTALLY ILL PERSON,SICK/MENTALLY ILL PERSON,ACTIVE
202300527,04/21/2023 08:20:46 am,04/20/2023 09:30:00 am-04/20/2023 09:47:00 am,"1 HOSPITAL DR , COLUMBIA MO, 65201     ",NO  ,ASSAULT-SIMPLE,ASSAULT-SIMPLE,ACTIVE
202300526,04/21/2023 07:25:20 am,04/19/2023 02:30:00 pm-04/20/2023 08:55:00 am,"901 ROLLINS ST , COLUMBIA MO, 65201     ",NO  ,PROPERTY DAMAGE,PROPERTY DAMAGE,INACTIVE (MUPD ONLY)
202300525,04/20/2023 02:33:00 am,04/20/2023 02:33:00 am-04/20/2023 02:33:00 am,"851 CHAMPIONS DR , COLUMBIA MO, 65201     ",NO  ,MOTOR VEHICLE THEFT,MOTOR VEHICLE THEFT,ACTIVE
202300524,04/20/2023 01:43:00 am,04/20/2023 01:42:59 am-04/20/2023 01:43:00 am,"801 CONLEY AVE , COLUMBIA MO, 65201     ",NO  ,TRESPASS,TRESPASS,CLEARED BY ARREST
202300523,04/20/2023 12:19:00 am,04/20/2023 12:18:59 am-04/20/2023 12:19:00 am,"601 TURNER AVE , COLUMBIA MO, 65201     ",NO  ,SICK/MENTALLY ILL PERSON,SICK/MENTALLY ILL PERSON,CLOSED
202300522,04/20/2023 12:00:00 am,04/20/2023 12:00:00 am-04/20/2023 12:00:00 am,"1100 ROLLINS ST , COLUMBIA MO, 65201     ",NO  ,SICK/MENTALLY ILL PERSON,SICK/MENTALLY ILL PERSON,CLOSED
202300521,04/19/2023 09:55:00 pm,04/19/2023 09:54:59 pm-04/19/2023 09:55:00 pm,"1299 UNIVERSITY AVE/S COLLEGE AVE , COLUMBIA MO, 65201     ",NO  ,ASSIST OTHER AGENCY (MUPD),ASSIST OTHER AGENCY (MUPD),CLEARED BY ARREST
202300520,04/19/2023 01:02:00 pm,04/19/2023 01:01:59 pm-04/19/2023 01:02:00 pm,"399 S EIGHTH ST , COLUMBIA MO, 65201     ",NO  ,LEAVING THE SCENE OF ACCIDENT,LEAVING THE SCENE OF ACCIDENT,CLEARED BY ARREST
202300519,04/18/2023 09:59:00 pm,04/18/2023 09:59:00 pm-04/18/2023 09:59:00 pm,"601 SOUTH PROVIDENCE ROAD , COLUMBIA MO, 65211     ",NO  ,DRUG - NARCOTIC,DRUG - NARCOTIC,CLEARED BY ARREST
202300518,04/18/2023 08:55:00 pm,04/18/2023 08:55:00 pm-04/18/2023 08:55:00 pm,"115 W BUSINESS LOOP 70 , COLUMBIA MO, 65203     ",NO  ,TRAFFIC OFFENSE,TRAFFIC OFFENSE,CLEARED BY ARREST
202300518,04/18/2023 08:55:00 pm,04/18/2023 08:55:00 pm-04/18/2023 08:55:00 pm,"115 W BUSINESS LOOP 70 , COLUMBIA MO, 65203     ",NO  ,WARRANT ARREST,TRAFFIC OFFENSE,CLEARED BY ARREST
202300517,04/18/2023 06:59:55 pm,04/18/2023 06:59:54 pm-04/18/2023 06:59:55 pm,"1349 E BROADWAY/WILLIS AVE , COLUMBIA MO, 65201     ",NO  ,TRAFFIC OFFENSE,TRAFFIC OFFENSE,CLEARED BY ARREST
202300516,04/18/2023 02:16:00 pm,04/18/2023 02:16:00 pm-04/18/2023 02:16:00 pm,"1449 S PROVIDENCE RD/CARRIE FRANCKE DR , COLUMBIA MO, 65203     ",NO  ,ASSIST OTHER AGENCY (MUPD),ASSIST OTHER AGENCY (MUPD),CLOSED
202300515,04/18/2023 01:35:01 pm,04/18/2023 01:35:00 pm-04/18/2023 01:35:01 pm,"500 N KEENE ST , COLUMBIA MO, 65201     ",NO  ,SICK/MENTALLY ILL PERSON,SICK/MENTALLY ILL PERSON,CLOSED
