MONTH       DAY      YEAR      HOUR     PRECIP                                    
      10         1      2019       100      0.00  
      10         1      2019       200      0.00  
      10         1      2019       300      0.00  
      10         1      2019       400      0.00  
      10         1      2019       500      0.00  
      10         1      2019       600      0.00  
      10         1      2019       700      0.00  
      10         1      2019       800      0.00  
      10         1      2019       900      0.00  
      10         1      2019      1000      0.00  
      10         1      2019      1100      0.00  
      10         1      2019      1200      0.00  
      10         1      2019      1300      0.00  
      10         1      2019      1400      0.00  
      10         1      2019      1500      0.00  
      10         1      2019      1600      0.00  
      10         1      2019      1700      0.00  
      10         1      2019      1800      0.00  
      10         1      2019      1900      0.00  
      10         1      2019      2000      0.00  
      10         1      2019      2100      0.00  
      10         1      2019      2200      0.00  
      10         1      2019      2300      0.00  
      10         1      2019      2400      0.00  
      10         2      2019       100      0.00  
      10         2      2019       200      0.00  
      10         2      2019       300      0.00  
      10         2      2019       400      0.00  
      10         2      2019       500      0.00  
      10         2      2019       600      0.00  
      10         2      2019       700      0.00  
      10         2      2019       800      0.00  
      10         2      2019       900      0.00  
      10         2      2019      1000      0.00  
      10         2      2019      1100      0.00  
      10         2      2019      1200      0.00  
      10         2      2019      1300      0.00  
      10         2      2019      1400      0.00  
      10         2      2019      1500      0.00  
      10         2      2019      1600      0.00  
      10         2      2019      1700      0.00  
      10         2      2019      1800      0.00  
      10         2      2019      1900      0.00  
      10         2      2019      2000      0.00  
      10         2      2019      2100      0.00  
      10         2      2019      2200      0.00  
      10         2      2019      2300      0.00  
      10         2      2019      2400      0.00  
      10         3      2019       100      0.00  
      10         3      2019       200      0.00  
      10         3      2019       300      0.00  
      10         3      2019       400      0.00  
      10         3      2019       500      0.00  
      10         3      2019       600      0.00  
      10         3      2019       700      0.00  
      10         3      2019       800      0.00  
      10         3      2019       900      0.00  
      10         3      2019      1000      0.00  
      10         3      2019      1100      0.00  
      10         3      2019      1200      0.00  
      10         3      2019      1300      0.00  
      10         3      2019      1400      0.00  
      10         3      2019      1500      0.00  
      10         3      2019      1600      0.00  
      10         3      2019      1700      0.00  
      10         3      2019      1800      0.00  
      10         3      2019      1900      0.00  
      10         3      2019      2000      0.00  
      10         3      2019      2100      0.00  
      10         3      2019      2200      0.00  
      10         3      2019      2300      0.00  
      10         3      2019      2400      0.00  
      10         4      2019       100      0.00  
      10         4      2019       200      0.00  
      10         4      2019       300      0.00  
      10         4      2019       400      0.00  
      10         4      2019       500      0.00  
      10         4      2019       600      0.00  
      10         4      2019       700      0.00  
      10         4      2019       800      0.00  
      10         4      2019       900      0.00  
      10         4      2019      1000      0.00  
      10         4      2019      1100      0.00  
      10         4      2019      1200      0.00  
      10         4      2019      1300      0.00  
      10         4      2019      1400      0.00  
      10         4      2019      1500      0.00  
      10         4      2019      1600      0.00  
      10         4      2019      1700      0.00  
      10         4      2019      1800      0.00  
      10         4      2019      1900      0.00  
      10         4      2019      2000      0.00  
      10         4      2019      2100      0.00  
      10         4      2019      2200      0.00  
      10         4      2019      2300      0.00  
      10         4      2019      2400      0.00  
      10         5      2019       100      0.00  
      10         5      2019       200      0.00  
      10         5      2019       300      0.00  
      10         5      2019       400      0.00  
      10         5      2019       500      0.00  
      10         5      2019       600      0.00  
      10         5      2019       700      0.00  
      10         5      2019       800      0.00  
      10         5      2019       900      0.00  
      10         5      2019      1000      0.00  
      10         5      2019      1100      0.00  
      10         5      2019      1200      0.00  
      10         5      2019      1300      0.00  
      10         5      2019      1400      0.00  
      10         5      2019      1500      0.04  
      10         5      2019      1600      0.00  
      10         5      2019      1700      0.00  
      10         5      2019      1800      0.00  
      10         5      2019      1900      0.00  
      10         5      2019      2000      0.00  
      10         5      2019      2100      0.00  
      10         5      2019      2200      0.00  
      10         5      2019      2300      0.00  
      10         5      2019      2400      0.00  
      10         6      2019       100      0.00  
      10         6      2019       200      0.00  
      10         6      2019       300      0.00  
      10         6      2019       400      0.00  
      10         6      2019       500      0.00  
      10         6      2019       600      0.00  
      10         6      2019       700      0.00  
      10         6      2019       800      0.00  
      10         6      2019       900      0.00  
      10         6      2019      1000      0.00  
      10         6      2019      1100      0.00  
      10         6      2019      1200      0.00  
      10         6      2019      1300      0.00  
      10         6      2019      1400      0.00  
      10         6      2019      1500      0.00  
      10         6      2019      1600      0.00  
      10         6      2019      1700      0.02  
      10         6      2019      1800      0.03  
      10         6      2019      1900      0.01  
      10         6      2019      2000      0.00  
      10         6      2019      2100      0.00  
      10         6      2019      2200      0.00  
      10         6      2019      2300      0.00  
      10         6      2019      2400      0.00  
      10         7      2019       100      0.00  
      10         7      2019       200      0.00  
      10         7      2019       300      0.00  
      10         7      2019       400      0.00  
      10         7      2019       500      0.00  
      10         7      2019       600      0.00  
      10         7      2019       700      0.00  
      10         7      2019       800      0.00  
      10         7      2019       900      0.00  
      10         7      2019      1000      0.00  
      10         7      2019      1100      0.00  
      10         7      2019      1200      0.00  
      10         7      2019      1300      0.00  
      10         7      2019      1400      0.00  
      10         7      2019      1500      0.00  
      10         7      2019      1600      0.00  
      10         7      2019      1700      0.00  
      10         7      2019      1800      0.00  
      10         7      2019      1900      0.00  
      10         7      2019      2000      0.00  
      10         7      2019      2100      0.00  
      10         7      2019      2200      0.00  
      10         7      2019      2300      0.00  
