MONTH       DAY      YEAR      HOUR  	TEMP  
      10         1      2019       100      75.4  
      10         1      2019       200      74.8  
      10         1      2019       300      73.9  
      10         1      2019       400      73.0  
      10         1      2019       500      72.3  
      10         1      2019       600      71.7  
      10         1      2019       700      72.2  
      10         1      2019       800      75.2  
      10         1      2019       900      78.7  
      10         1      2019      1000      81.6  
      10         1      2019      1100      84.5  
      10         1      2019      1200      86.6  
      10         1      2019      1300      87.8  
      10         1      2019      1400      88.6  
      10         1      2019      1500      88.9  
      10         1      2019      1600      88.3  
      10         1      2019      1700      87.7  
      10         1      2019      1800      85.0  
      10         1      2019      1900      82.5  
      10         1      2019      2000      80.7  
      10         1      2019      2100      79.4  
      10         1      2019      2200      79.3  
      10         1      2019      2300      78.5  
      10         1      2019      2400      76.8  
      10         2      2019       100      75.7  
      10         2      2019       200      75.0  
      10         2      2019       300      75.1  
      10         2      2019       400      75.6  
      10         2      2019       500      75.2  
      10         2      2019       600      74.3  
      10         2      2019       700      73.8  
      10         2      2019       800      75.1  
      10         2      2019       900      76.5  
      10         2      2019      1000      76.9  
      10         2      2019      1100      78.8  
      10         2      2019      1200      81.2  
      10         2      2019      1300      84.0  
      10         2      2019      1400      85.6  
      10         2      2019      1500      86.6  
      10         2      2019      1600      87.7  
      10         2      2019      1700      87.0  
      10         2      2019      1800      85.2  
      10         2      2019      1900      82.2  
      10         2      2019      2000      80.7  
      10         2      2019      2100      80.0  
      10         2      2019      2200      79.0  
      10         2      2019      2300      76.2  
      10         2      2019      2400      74.9  
      10         3      2019       100      74.1  
      10         3      2019       200      69.7  
      10         3      2019       300      65.0  
      10         3      2019       400      62.4  
      10         3      2019       500      59.7  
      10         3      2019       600      58.6  
      10         3      2019       700      57.5  
      10         3      2019       800      57.3  
      10         3      2019       900      57.3  
      10         3      2019      1000      56.9  
      10         3      2019      1100      57.2  
      10         3      2019      1200      58.6  
      10         3      2019      1300      59.8  
      10         3      2019      1400      60.3  
      10         3      2019      1500      60.4  
      10         3      2019      1600      60.9  
      10         3      2019      1700      61.0  
      10         3      2019      1800      59.2  
      10         3      2019      1900      58.4  
      10         3      2019      2000      57.9  
